iter	Passed	Remaining
0	50	49982
1	52	26035
2	195	64920
3	309	77038
4	320	63723
5	328	54501
6	408	57943
7	411	5108	38	454	50064
9	489	48437
10	495	44514
11	501	41319
12	548	41667
13	562	39648
14	566	37184
15	569	34997
16	642	37174
17	686	37462
18	689	35608
19	691	338820	775	36147
21	778	34601
2222	754	32062323	839	34142424	908	35424
25	950	35619
26	953	34361
27	998	34676
28	1001	33544
29	1092	35336
30	1169	36568
31	1180	35701
32	1352	39620
33	1401	39808
34	1415	39031
35	1587	42513
36	1591	41415
37	1595	40399
38	1668	41110
39	1700	40811
40	1864	43610
41	1868	42626
42	2002	44562
43	2048	44507
44	2052	43560
45	2068	42902
46	2147	43544
47	2150	42653
48	2153	41792
49	2204	41890
50	2217	41260
51	2226	40598
52	2229	39831
53	2231	39093
54	2244	38571
55	2247	37891
56	2250	37230
57	2267	36829
58	2339	37312
59	2417	37872
60	2420	37253
61	2422	36654
62	2435	36229
63	2438	35666464	2481	35686565	2516	356066	2572	35818
6767	2547	349168	2665	35968
69	2729	36258
70	2734	35773
71	2742	35341
72	2744	34851
73	2746	34369
74	2749	33910
75	2751	33476	76	2762	33177	2725	32216
78	2729	31823
79	2798	32181
80	2792	31683
81	2834	31732
82	2855	31547
83	2862	31217
84	2864	30837
85	2866	30464
86	2868	30097
87	2999	31083
88	3083	31560
89	3120	31556
90	3142	31394
91	3152	31117
92	3309	32276
93	3418	32952
94	3421	32598
95	3425	32260
96	3479	32388
97	3541	32598
98	3545	32264
99	3617	32557
100	3634	32351
101	3666	32282
102	3724	32435
103	3781	32579
104	3796	32357
105	3801	32060
106	3895	32507
107	3965	32755
108	3969	32447
109	4010	32452
110	4013	32147
111	4037	32007
112	4040	31714
113	4065	31598
114	4083	31425
115	4087	31150
116	4090	30868
117	4092	30588
118	4094	30315
119	4097	30046
120	4127	29981
121	4160	29944
122	4163	29685
123	4167	29441
124	4235	29645
125	4237	29392
126	4242	29161
127	4246	28929
128	4287	28948
129	4307	28830
130	4343	28813
131	4357	28655
132	4364	28448
133	4439	28689
134	4488	28758
135	4491	28532
136	4493	28303
137	4618	28846
138	4633	28700
139	4636	28481
140	4638	28258
141	4694	28366
142	4698	28160
143	4701	27946
144	4703	27731
145	4705	27521
146	4708	27320
147	4710	27117
148	4805	27447
149	4868	27586
150	4918	27653
151	4944	27583
152	4945	27380
153	4948	27185
154	4951	26991
155	5052	27334
156	5126	27528
157	5270	28087
158	5359	28349
159	5361	28150
160	5399	28140
161	5464	28266
162	5468	28082
163	5471	27890
164	5473	27699
165	5476	27513
166	5478	27325
167	5480	27141
168	5482	26957
169	5567	27182
170	5609	27193
171	5611	27014
172	5682	27162
173	5726	27184
174	5744	27080
175	5746	26905
176	5751	26741
177	5755	26578
178	5759	26416
179	5763	26256
180	5766	26090
181	5767	25924
182	5772	25769
183	5796	25708
184	5815	25620
185	5845	25584
186	5850	25434
187	5903	25498
188	5906	25345
189	5910	25197
190	5988	25365
191	6099	25670
192	6102	25518
193	6324	26275
194	6369	26295
195	6386	26196
196	6425	26191
197	6438	26078
198	6534	26304
199	6540	26163
200	6597	26226
201	6611	26116
202	6613	25966
203	6621	25836
204	6624	25691
205	6709	25860
206	6713	25718
207	6715	25569
208	6774	25638
209	6777	25495
210	6793	25402
211	6796	25261
212	6809	25158
213	6812	25020
214	6814	24882
215	6848	24858
216	6863	24763
217	6866	24632
218	6909	24642
219	6913	24511
220	6917	24383
221	6921	24256
222	6941	24185
223	7078	24522
224	7106	24476
225	7226	24748
226	7229	24617
227	7278	24643
228	7409	24945
229	7411	24814
230	7415	24685
231	7417	24555
232	7420	24428
233	7423	24302
234	7428	24181
235	7430	24055
236	7434	23933
237	7475	23933
238	7558	24067
239	7563	23952
240	7598	23929
241	7600	23806
242	7602	23684
243	7604	23561
244	7606	23441
245	7719	23661
246	7763	23668
247	7781	23596
248	7803	23534
249	7834	23502
250	7923	23644
251	7932	23544
252	7936	23432
253	8086	23751
254	8114	23706
255	8117	23590
256	8176	23637
257	8180	23528
258	8183	23412
259	8209	23365
260	8251	23363
261	8292	23359
262	8296	23248
263	8338	23246
264	8375	23229
265	8391	23155
266	8402	23066
267	8420	22999
268	8424	22893
269	8464	22884
270	8597	23127
271	8601	23021
272	8665	23076
273	8753	23194
274	9056	23875
275	9060	23767
276	9097	23744
277	9245	24010
278	9251	23907
279	9265	23825
280	9268	23714
281	9311	23709
282	9316	23604
283	9399	23697
284	9401	23585
285	9405	23480
286	9463	23510
287	9498	23481
288	9513	23406
289	9536	23348
290	9538	23239
291	9540	23132
292	9542	23026
293	9544	22920
294	9547	22816
295	9550	22713
296	9552	22610
297	9554	22508
298	9557	22406
299	9559	22305
300	9564	22210
301	9567	22114
302	9608	22101
303	9648	22089
304	9663	22019
305	9665	21921
306	9682	21855
307	9684	21758
308	9686	21661
309	9688	21565
310	9773	21651
311	9814	21642
312	9819	21551
313	9830	21476
314	10045	21845
315	10049	21752
316	10052	21658
317	10103	21668
318	10107	21578
319	10131	21528
320	10134	21436
321	10168	21411
322	10177	21331
323	10180324	10314	21422
325	10318	21332
326	10322	21243
327	10326	21155
328	10331	21071
329	10334	20983
330	10338	20895
331	10377	20879
332	10384	20799
333	10413	20764
334	10415	20675
335	10417	20587
336	10480	20618
337	10485	20535
338	10592	20654
339	10595	20567
340	10668	20616
341	10671	20531
342	10723	20539
343	10731	20465
344	10772	20452
345	10777	20371
346	10799	20323
347	10815	20263
348	10819	20182
349	10824	20102
350	10827	20019
351	10924	20111
352	10946	20063
353	10949	19981
354	10952	19898
355	10954	19817
356	10957	19736
357	10960	19655
358	10962	19574
359	10965	19494
360	10968	19414
361	10970	19335
362	10973	19256
363	10975	19177
364	10978	19099
365	10986	19032
366	10989	18955
367	10999	18891
368	11002	18815
369	11158	19000
370	11161	18923
371	11164	18847
372	11168	18773
373	11172	18700
374	11187	18645
375	11189	18569
376	11191	18494
377	11247	18508
378	11334	18571
379	11337	18497
380	11339	18423
381	11371	18396
382	11376	18326
383	11482	18419
384	11488	18352
385	11594	18443
386	11601	18375
387	11604	18304
388	11608	18233
389	11618	18172
390	11630	18115
391	11743	18214
392	11748	18145
393	11750	18073
394	11752	18000
395	11754	17928
396	11756	17857
397	11758	17785
398	11762	17717
399	11764	17646
400	11766	17575
401	11768	17505
402	11770	17436
403	11772406	11839	17250
407	11967	17365
408	11980	17311
409	12055	17347
410	12057	17279
411	12061	17214
412	12135	17247
413	12162	17215
414	12164	17147
415	12180	17099
416	12248	17124
417	12267	17080
418	12313	17073
419	12315	17007
420	12366	17007
421	12403	16988
422	12407	16924
423	12492	16970
424	12496	16907
425	12501	16844
426	12601	16910
427	12648	16904
428	12657	16846
429	12661	16783
430	12704	16772
431	12712	16714
432	12776	16730
433	12823	16723
434	12827	16661
435	12979	16789
436	13029	16786
437	13203	16941
438	13208	16879
439	13248	16862
440	13257	16804
441	13290	16778
442	13326	16756
443	13329	16691
444	13331	16626
445	13333	16562
446	13336	16499
447	13357	16458
448	13359	16394
449	13365	16335
450	13376	16283
451	13388	16231
452	13390	16168
453	13391	16105
454	13393	16043
455	13395	15981
456	13397	15918
457	13399	15857
458	13401	15795
459	13403	15734
460	13405	15673
461	13407	15613
462	134460	13592	15892
461	13628	15870
462	13710	15902
463	13742	15874
464	13744	15813
465	13791	15804
466	13876	15837
467	13880	15778
468	13883	15718
469	14006	15794
470	14010	15735
471	14012	15675
472	14014	15614
473	14056	15598
474	14171	15662
475	14210	15643
476	14221	15592
477	14225	15535
478	14263	15514
479	14266	15455
480	14269	15396
481	14340	15411
482	14343	15352
483	14353	15302
484	14437	15330
485	14441	15273
486	14473	15246
487	14491	15204
488	14540	15194
489	14573	15168
490	14586	15121
491	14664	15141
492	14668	15085
493	14671	15027
494	14701	14998
495	14716	14953
496	14782	14961
497	14794	14913
498	14825	14884
499	14872	14872
500	14875	14816
501	14879	14760
502	14881	14704
503	14884	14648
504	14919	14624
505	14922	14568
506	14925	14512
507	14939	14468
508	14941	14413
509	14956	14369
510	14986	14340
511	15166	14455
512	15168	14399
513	15171	14344
514	15173	14289
515	15388	14433
516	15392	14380
517	15446	14373
518	15458	14326
519	15472	14282
520	15484	14236
521	15487	14182
522	15490	14128
523	15494	14075
524	15517	14039
525	15555	14017
526	15675	14069
527	15680	14017
528	15750	14023
529	15754	13971
530	15781	13938
531	15853	13946
532	15864	13900
533	15917	13890
534	15971	13881
535	16019	13867
536	16023	13815
537	16026	13762
538	16171	13831
539	16217	13815
540	16260	13795
541	16264	13744
542	16413	13813
543	16450	13789
544	16534	13804
