Mon Mar 20 16:43:06 2023    profile_results_base.prof

         45452990 function calls (44306479 primitive calls) in 47.028 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      4/1    0.000    0.000   47.036   47.036 {built-in method builtins.exec}
        1    0.000    0.000   47.036   47.036 <string>:1(<module>)
        1    0.004    0.004   47.036   47.036 3924107135.py:1(time_estimation)
      459    0.011    0.000   46.972    0.102 3922384544.py:1(predict_iteration)
      459    0.038    0.000   46.887    0.102 1412634782.py:1(predict_all)
  463/459    3.197    0.007   22.978    0.050 traceback_utils.py:59(error_handler)
      459    0.026    0.000   19.780    0.043 training.py:2076(predict)
      459    0.005    0.000   14.112    0.031 1179929414.py:1(prepare_features)
      459    0.001    0.000   12.010    0.026 data_adapter.py:1542(get_data_handler)
      459    0.007    0.000   12.008    0.026 data_adapter.py:1204(__init__)
      459    0.012    0.000   11.842    0.026 data_adapter.py:234(__init__)
      459    0.071    0.000    9.597    0.021 3444509896.py:1(create_feature_dataset)
      459    0.002    0.000    9.451    0.021 3320480520.py:1(feature_engineering)
     1377    0.017    0.000    8.709    0.006 structured_function.py:86(__init__)
     1836    0.033    0.000    8.625    0.005 function.py:2689(_maybe_define_function)
     1377    0.003    0.000    8.498    0.006 function.py:2601(get_concrete_function)
     1377    0.015    0.000    8.494    0.006 function.py:2537(_get_concrete_function_garbage_collected)
10582/7827    0.020    0.000    8.149    0.001 _decorators.py:302(wrapper)
     1378    0.014    0.000    8.036    0.006 function.py:2652(_create_graph_function)
     4131    0.032    0.000    7.719    0.002 frame.py:3910(query)
     1378    0.070    0.000    7.585    0.006 func_graph.py:1077(func_graph_from_py_func)
    11018    7.386    0.001    7.404    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
      459    0.028    0.000    6.730    0.015 1559869563.py:1(add_numeric_column_features)
     4131    0.044    0.000    6.341    0.002 frame.py:4075(eval)
20691/11017    0.044    0.000    5.824    0.001 traceback_utils.py:138(error_handler)
      918    0.003    0.000    5.517    0.006 data_adapter.py:1304(enumerate_epochs)
      918    0.002    0.000    5.492    0.006 dataset_ops.py:2045(map)
    30412    0.010    0.000    5.440    0.000 {built-in method builtins.iter}
      459    0.003    0.000    5.429    0.012 dataset_ops.py:486(__iter__)
      461    0.002    0.000    5.419    0.012 iterator_ops.py:658(__init__)
      459    0.005    0.000    5.417    0.012 iterator_ops.py:700(_create_iterator)
      459    0.001    0.000    5.366    0.012 gen_dataset_ops.py:3391(make_iterator)
      459    0.001    0.000    5.053    0.011 dataset_ops.py:2212(flat_map)
      459    0.007    0.000    5.052    0.011 dataset_ops.py:5481(__init__)
     1377    0.004    0.000    4.357    0.003 structured_function.py:242(wrapped_fn)
     1377    0.008    0.000    4.306    0.003 structured_function.py:171(wrapper_helper)
1380/1378    0.009    0.000    4.196    0.003 api.py:295(converted_call)
     1378    0.006    0.000    4.182    0.003 api.py:681(wrapper)
1379/1378    0.003    0.000    3.956    0.003 api.py:449(_call_unconverted)
     5522    0.098    0.000    3.670    0.001 op_def_library.py:753(_apply_op_helper)
79597/79136    0.374    0.000    3.591    0.000 series.py:315(__init__)
8276/6438    0.044    0.000    3.554    0.001 dispatch.py:1162(op_dispatch_handler)
      459    0.008    0.000    3.082    0.007 dataset_ops.py:5389(__init__)
      459    0.004    0.000    2.939    0.006 data_adapter.py:366(slice_inputs)
      918    0.006    0.000    2.821    0.003 generic.py:964(aggregate)
      918    0.004    0.000    2.764    0.003 apply.py:143(agg)
