iter	Passed	Remaining
0	11	2500
1	22	2308
2	30	2120
3	39	2027
4	48	1988
5	57	1963
6	67	1953
7	76	1922
8	86	1929
9	96	1920
10	106	1921
11	115	1905
12	124	1888
13	135	1900
14	144	1879
15	154	1870
16	162	1848
17	172	1839
18	182	1833
19	191	1815
20	200	1803
21	209	1792
22	219	1781
23	229	1776
24	237	1760
25	247	1748
26	256	1741
27	266	1732
28	275	1720
29	284	1709
30	293	1697
31	303	1689
32	312	1678
33	321	1663
34	331	1656
35	340	1648
36	350	1640
37	360	1631
38	370	1623
39	380	1615
40	388	1601
41	398	1594
42	408	1587
43	417	1575
44	427	1566
45	436	1557
46	447	1551
47	456	1539
48	465	1529
49	475	1520
50	483	1508
51	492	1496
52	501	1486
53	511	1476
54	520	1465
55	529	1455
56	538	1446
57	548	1436
58	557	1426
59	567	1418
60	577	1409
61	585	1398
62	595	1390
63	604	1379
64	613	1368
65	622	1358
66	633	1351
67	643	1343
68	652	1333
69	662	1324
70	671	1315
71	680	1304
72	689	1293
73	699	1285
74	708	1275
75	718	1265
76	727	1256
77	736	1246
78	747	1239
79	756	1229
80	765	1219
81	775	1211
82	784	1200
83	794	1191
84	802	1180
85	812	1171
86	823	1163
87	831	1153
88	841	1143
89	849	1132
90	860	1125
91	869	1114
92	878	1104
93	886	1094
94	896	1085
95	906	1076
96	915	1066
97	924	1056
98	934	1047
99	943	1038
100	953	1029
101	963	1020
102	972	1010
103	982	1001
104	993	993
105	1002	983
106	1011	973
107	1019	963
108	1028	953
109	1038	943
110	1047	934
111	1057	925
112	1066	915
113	1076	906
114	1085	897
115	1095	887
116	1104	878
117	1113	868
118	1123	858
119	1133	849
120	1142	840
121	1151	830
122	1160	820
123	1169	811
124	1178	801
125	1188	792
126	1198	782
127	1206	773
128	1216	763
129	1225	754
130	1235	744
131	1244	735
132	1252	725
133	1262	715
134	1271	706
135	1281	697
136	1290	687
137	1299	677
138	1308	668
139	1318	659
140	1327	649
141	1338	640
142	1348	631
143	1356	621
144	1366	612
145	1375	603
146	1384	593
147	1393	583
148	1403	574
149	1411	564
150	1420	555
151	1430	545
152	1439	536
153	1449	526
154	1458	517
155	1468	508
156	1478	499
157	1487	489
158	1496	480
159	1506	470
160	1516	461
161	1525	452
162	1536	442
163	1544	433
164	1554	423
165	1565	414
166	1575	405
167	1584	396
168	1594	386
169	1604	377
170	1614	368
171	1624	358
172	1633	349
173	1642	339
174	1651	330
175	1660	320
176	1670	311
177	1679	301
178	1689	292
179	1699	283
180	1708	273
181	1717	264
182	1726	254
183	1737	245
184	1746	235
185	1755	226
186	1765	217
187	1774	207
188	1784	198
189	1794	188
190	1803	179
191	1813	169
192	1821	160
193	1831	151
194	1841	141
195	1851	132
196	1861	122
197	1871	113
198	1880	103
199	1889	94
200	1899	85
201	1909	75
202	1919	66
203	1928	56
204	1937	47
205	1945	37
206	1954	28
207	1963	18
208	1973	9
209	1983	0
